adduct_mode,adduct_type,add,sub,charge,adduct_generic
1,[M+H]+,H,"",1,[M+H]+
18,[M+NH4]+,NH4,"",1,[M+H4N]+
23,[M+Na]+,Na,"",1,[M+Na]+
39,[M+K]+,K,"",1,[M+K]+
33,[M+CH3OH+H]+,CH5O,"",1,[M+CH5O]+
42,[M+ACN+H]+,C2H4N,"",1,[M+C2H4N]+
64,[M+ACN+Na]+,C2H3NNa,"",1,[M+C2H3NNa]+
83,[M+2ACN+H]+,C4H7N2,"",1,[M+C4H7N2]+
0,[M]+,"","",1,[M]+
-1,[M-H]-,"",H,-1,[M-H]-
35,[M+Cl]-,Cl,"",-1,[M+Cl]-
45,[M+HCOO]-,CO2H,"",-1,[M+CHO2]-
59,[M+CH3COO]-,C2H3O2,"",-1,[M+C2H3O2]-
0,[M]-,"","",-1,[M]-
