level,subLevel,type,score,relative,value,higherThanNext,mustExist
1,,suspectFragments,,,3,,
1,,retention,maxDeviation,,12,,
2,a,compound,individualMoNAScore,FALSE,0.9,Inf,TRUE
2,a,compound,rank,,1,,
3,a,compound,individualMoNAScore,FALSE,0.4,,TRUE
3,b,suspectFragments,,,3,,
3,c,compound,annMSMSSim,,0.7,,TRUE
4,,formula,annMSMSSim,TRUE,0.7,0.2,FALSE
4,,formula,isoScore,TRUE,0.9,0.2,TRUE
4,,formula,rank,,1,,TRUE
5,,none,,,,,
